;count;mean;std;min;25%;50%;75%;max
hist_1;12000.0;0.19455480641211662;0.18353576828437657;0.0008309104;0.056705413;0.14708161;0.249168725;0.99986386
hist_2;12000.0;0.010743326850247191;0.012448837423263281;1.453218e-06;0.004653033;0.0082965085;0.012157630249999999;0.40468493
hist_3;12000.0;0.007289994837899984;0.009821933717253177;1.9376241e-06;0.003898030925;0.00526161935;0.006966045075;0.43323007
hist_4;12000.0;0.005915888029147617;0.007346804238747495;0.0;0.0035211345999999998;0.004717988;0.006068852624999999;0.18855895
hist_5;12000.0;0.007733219120628;0.009031186638092931;1.453218e-06;0.00402610925;0.0057549955;0.008694877;0.31736627
hist_6;12000.0;0.004596601600397291;0.006638793500206867;0.0;0.0028496258500000002;0.0038589252;0.004962310100000001;0.16817828
hist_7;12000.0;0.00491809448531205;0.0072781361946015226;0.0;0.002550627;0.003703816;0.0042054013;0.3188911
hist_8;12000.0;0.004028040703680734;0.005487999690999159;0.0;0.0023524715;0.0035170849999999997;0.0047695857;0.24123143
hist_9;12000.0;0.006361064154814836;0.004629751008145108;0.0;0.00394066295;0.00504912685;0.007903281;0.21290049
hist_10;12000.0;0.0032788368963621107;0.002502848416886412;0.0;0.0017911976;0.0030135678000000003;0.004051046575;0.111816406
hist_11;12000.0;0.0043413516046237445;0.005224776800801864;0.0;0.002093386675;0.0032876893;0.0038619146;0.10684989
hist_12;12000.0;0.0029320161671159612;0.002504288545645211;4.8440603e-07;0.001643502775;0.00278065125;0.0039145906250000004;0.19452311
hist_13;12000.0;0.00444529954714375;0.0025163486210212182;0.0;0.002987125525;0.0041300624000000005;0.0050075082;0.068116985
hist_14;12000.0;0.002964283600344875;0.0017848084062991561;0.0;0.001927874975;0.0030775672;0.003640096575;0.04226912
hist_15;12000.0;0.0028325245519077256;0.004113766648203491;0.0;0.00142586635;0.0025846675000000003;0.00386158935;0.3754027
hist_16;12000.0;0.0048355777016720084;0.004670134417603474;0.0;0.002734823;0.0041169017500000005;0.005275433575;0.15449002
hist_17;12000.0;0.005756492486819;0.005816938635388713;9.203714e-06;0.0034585701;0.00480054785;0.0061705117999999995;0.27766928
hist_18;12000.0;0.0031245949669500834;0.0028916415771907842;0.0;0.001510773825;0.00284612165;0.00377072495;0.115145594
hist_19;12000.0;0.0028820184498306164;0.003352727652654576;0.0;0.001202580875;0.0024442786;0.003881958625;0.18974727
hist_20;12000.0;0.002718783442198192;0.002402420806059397;0.0;0.001140809125;0.00245730455;0.003883044425;0.11903881
hist_21;12000.0;0.0033287566069436668;0.0018708089110471792;0.0;0.002315075775;0.0034135865;0.0043426165;0.05741518
hist_22;12000.0;0.0033352166679459666;0.0031547750552001546;0.0;0.0020004904;0.00317435985;0.003842849925;0.19108026
hist_23;12000.0;0.0025635438128411335;0.0020234458024975433;0.0;0.001127594175;0.0023530191;0.0038272477500000002;0.082593516
hist_24;12000.0;0.002392571649504342;0.0020789113308757397;0.0;0.0009453281974999999;0.00215990635;0.00380335965;0.106174424
hist_25;12000.0;0.0032430487004111914;0.0016891735056459717;0.0;0.0021855477999999998;0.00328056095;0.0040305638750000004;0.058249082
